Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

RSB_READY | Godot 4.7-stable (official) | region=320m | terrain_tiles=25 | streamed_window=25
RSB_BIKE | PASS | Raider lock keeps both combatants in frame | 
RSB_BIKE | PASS | Raider head remains visible past the player | 
RSB_BIKE | PASS | Cinder beast lock keeps both combatants in frame | 
RSB_BIKE | PASS | Cinder beast head remains visible past the player | 
RSB_BIKE | PASS | Wrench user faces the locked enemy directly | 
RSB_BIKE | PASS | Pause preserves lock framing | 
RSB_BIKE | PASS | Unlock returns independent centered orbit | 
RSB_BIKE | PASS | Rifle retains shoulder framing with a distant lock | 
RSB_BIKE | PASS | Lock follows a target crossing the view | 
RSB_BIKE | PASS | New cover releases the lock | 
RSB_BIKE | PASS | Leaving lock range releases the camera | 
RSB_BIKE | PASS | Dead target releases lock and melee offset | 
RSB_LOCK_FRAMING_REPORT {"elapsed_seconds":13.287,"milestone":"37 visible locked combatants","passed":12,"platform":"macOS","tests":[{"detail":"","passed":true,"test":"Raider lock keeps both combatants in frame"},{"detail":"","passed":true,"test":"Raider head remains visible past the player"},{"detail":"","passed":true,"test":"Cinder beast lock keeps both combatants in frame"},{"detail":"","passed":true,"test":"Cinder beast head remains visible past the player"},{"detail":"","passed":true,"test":"Wrench user faces the locked enemy directly"},{"detail":"","passed":true,"test":"Pause preserves lock framing"},{"detail":"","passed":true,"test":"Unlock returns independent centered orbit"},{"detail":"","passed":true,"test":"Rifle retains shoulder framing with a distant lock"},{"detail":"","passed":true,"test":"Lock follows a target crossing the view"},{"detail":"","passed":true,"test":"New cover releases the lock"},{"detail":"","passed":true,"test":"Leaving lock range releases the camera"},{"detail":"","passed":true,"test":"Dead target releases lock and melee offset"}],"total":12}
